<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.09	18:56:00	1.20748	1.20798	1.20732	1.20798	357	0	0
2020.12.09	19:00:00	1.20799	1.20848	1.20791	1.20842	414	0	0
2020.12.09	19:04:00	1.20842	1.20850	1.20826	1.20835	226	0	0
2020.12.09	19:08:00	1.20835	1.20835	1.20750	1.20753	349	0	0
2020.12.09	19:12:00	1.20753	1.20756	1.20700	1.20707	428	0	0
2020.12.09	19:16:00	1.20707	1.20708	1.20634	1.20636	450	0	0
2020.12.09	19:20:00	1.20636	1.20666	1.20627	1.20666	308	0	0
2020.12.09	19:24:00	1.20666	1.20674	1.20646	1.20651	282	0	0
2020.12.09	19:28:00	1.20651	1.20663	1.20602	1.20602	282	0	0
2020.12.09	19:32:00	1.20602	1.20637	1.20588	1.20633	359	0	0
2020.12.09	19:36:00	1.20633	1.20649	1.20628	1.20649	303	0	0
2020.12.09	19:40:00	1.20649	1.20651	1.20622	1.20642	270	0	0
2020.12.09	19:44:00	1.20642	1.20652	1.20628	1.20637	186	0	0
2020.12.09	19:48:00	1.20637	1.20659	1.20622	1.20657	200	0	0
2020.12.09	19:52:00	1.20657	1.20682	1.20646	1.20682	316	0	0
2020.12.09	19:56:00	1.20682	1.20725	1.20669	1.20724	244	0	0
2020.12.09	20:00:00	1.20724	1.20734	1.20694	1.20702	345	0	0
2020.12.09	20:04:00	1.20702	1.20704	1.20672	1.20677	331	0	0
2020.12.09	20:08:00	1.20677	1.20691	1.20668	1.20669	227	0	0
2020.12.09	20:12:00	1.20669	1.20677	1.20656	1.20656	195	0	0
2020.12.09	20:16:00	1.20656	1.20682	1.20646	1.20682	441	0	0
2020.12.09	20:20:00	1.20683	1.20692	1.20668	1.20690	299	0	0
2020.12.09	20:24:00	1.20690	1.20690	1.20663	1.20671	233	0	0
2020.12.09	20:28:00	1.20671	1.20702	1.20670	1.20678	301	0	0
2020.12.09	20:32:00	1.20678	1.20719	1.20672	1.20698	462	0	0
2020.12.09	20:36:00	1.20698	1.20712	1.20677	1.20685	297	0	0
2020.12.09	20:40:00	1.20684	1.20687	1.20658	1.20662	205	0	0
2020.12.09	20:44:00	1.20662	1.20670	1.20632	1.20642	221	0	0
2020.12.09	20:48:00	1.20642	1.20642	1.20612	1.20619	220	0	0
2020.12.09	20:52:00	1.20619	1.20652	1.20608	1.20648	249	0	0
2020.12.09	20:56:00	1.20648	1.20651	1.20614	1.20618	288	0	0
2020.12.09	21:00:00	1.20618	1.20672	1.20616	1.20670	411	0	0
2020.12.09	21:04:00	1.20670	1.20692	1.20632	1.20692	252	0	0
2020.12.09	21:08:00	1.20692	1.20693	1.20677	1.20679	262	0	0
2020.12.09	21:12:00	1.20679	1.20681	1.20640	1.20647	176	0	0
2020.12.09	21:16:00	1.20647	1.20661	1.20642	1.20660	141	0	0
2020.12.09	21:20:00	1.20660	1.20661	1.20647	1.20651	106	0	0
2020.12.09	21:24:00	1.20651	1.20664	1.20651	1.20662	91	0	0
2020.12.09	21:28:00	1.20662	1.20707	1.20662	1.20695	239	0	0
2020.12.09	21:32:00	1.20695	1.20696	1.20681	1.20685	199	0	0
2020.12.09	21:36:00	1.20685	1.20696	1.20674	1.20680	163	0	0
2020.12.09	21:40:00	1.20680	1.20707	1.20674	1.20707	117	0	0
2020.12.09	21:44:00	1.20705	1.20726	1.20696	1.20698	275	0	0
2020.12.09	21:48:00	1.20698	1.20704	1.20682	1.20698	160	0	0
2020.12.09	21:52:00	1.20699	1.20718	1.20692	1.20706	183	0	0
2020.12.09	21:56:00	1.20706	1.20732	1.20704	1.20728	261	0	0
2020.12.09	22:00:00	1.20728	1.20744	1.20705	1.20718	174	0	0
2020.12.09	22:04:00	1.20718	1.20742	1.20718	1.20741	190	0	0
2020.12.09	22:08:00	1.20741	1.20751	1.20728	1.20751	144	0	0
2020.12.09	22:12:00	1.20751	1.20752	1.20715	1.20736	158	0	0
2020.12.09	22:16:00	1.20736	1.20739	1.20727	1.20736	111	0	0
